=== Mind ===
  mind-fear | Fear
  oph-dry-eye | Dry eye syndrome
  oph-blepharitis | Blepharitis
  oph-chalazion | Chalazion / meibomian cyst
  oph-macular-degeneration | Macular degeneration
  oph-retinopathy | Retinopathy
  oph-floaters | Eye floaters
  oph-eye-strain | Digital eye strain
  oph-pinguecula | Pinguecula / pterygium
=== Dental & Oral Health ===
  dental-abscess | Dental abscess
    dental-abscess-acute | Acute dental abscess
    dental-abscess-chronic | Chronic dental abscess
  dental-gingivitis | Gingivitis / gum disease
    dental-periodontitis | Periodontitis
    dental-receding-gums | Receding gums
    dental-gum-bleeding-brushing | Gum bleeding while brushing
  dental-wisdom-teeth | Wisdom teeth problems
  dental-root-canal | Root canal pain
  dental-dry-socket | Dry socket after extraction
  dental-tmj | TMJ disorder
    dental-tmj-clicking | TMJ with clicking
    dental-tmj-pain | TMJ with pain
    dental-tmj-lockjaw | TMJ with lockjaw
  dental-canker-sores | Canker sores / aphthous ulcers
    dental-canker-recurrent | Recurrent canker sores
    dental-canker-stress | Canker sores from stress
  dental-halitosis | Halitosis (bad breath)
  dental-bruxism | Bruxism (teeth grinding)
=== ENT (Ear, Nose, Throat) Conditions ===
  ent-sinusitis-chronic | Chronic sinusitis
    ent-sinusitis-frontal-chronic | Chronic frontal sinusitis
    ent-sinusitis-maxillary-chronic | Chronic maxillary sinusitis
    ent-sinusitis-ethmoid | Ethmoid sinusitis
    ent-sinusitis-sphenoid | Sphenoid sinusitis
    ent-sinusitis-polyps | Sinusitis with polyps
    ent-sinusitis-fungal | Fungal sinusitis
  ent-nasal-polyps | Nasal polyps
    ent-nasal-polyps-recurrent | Recurrent nasal polyps
    ent-nasal-polyps-bilateral | Bilateral nasal polyps
  ent-deviated-septum | Deviated nasal septum effects
  ent-adenoids | Enlarged adenoids
    ent-adenoids-children | Adenoids in children
    ent-adenoids-snoring | Adenoids with snoring
    ent-adenoids-mouth-breathing | Adenoids with mouth breathing
  ent-post-nasal-drip | Post-nasal drip
  ent-otitis-media-chronic | Chronic otitis media
    ent-glue-ear | Glue ear (secretory otitis)
  ent-meniere | Meniere's disease
    ent-meniere-vertigo | Meniere's with vertigo
    ent-meniere-hearing-loss | Meniere's with hearing loss
    ent-meniere-tinnitus | Meniere's with tinnitus
    ent-meniere-nausea | Meniere's with nausea
  ent-strep-throat | Strep throat
  ent-laryngitis-chronic | Chronic laryngitis
    ent-voice-overuse | Voice loss from overuse
    ent-singer-node | Singer's nodes
  ent-sleep-apnea | Sleep apnea / snoring
    ent-sleep-apnea-obstructive | Obstructive sleep apnea
    ent-snoring-habitual | Habitual snoring
    ent-sleep-apnea-central | Central sleep apnea
=== Sexual Health & Fertility ===
  sx-erectile-dysfunction | Erectile dysfunction
    sx-ed-psychogenic | Psychogenic ED
    sx-ed-organic | Organic ED
    sx-ed-age-related | Age-related ED
    sx-ed-diabetes | ED from diabetes
    sx-ed-medication | ED from medication
  sx-premature-ejaculation | Premature ejaculation
    sx-pe-anxiety | PE from performance anxiety
  sx-low-libido | Low libido
    sx-low-libido-male | Low libido in males
    sx-low-libido-female | Low libido in females
    sx-low-libido-menopause | Low libido in menopause
    sx-low-libido-medication | Low libido from medication
    sx-low-libido-stress | Low libido from stress
  sx-infertility | Infertility
    sx-infertility-male | Male infertility
    sx-infertility-female | Female infertility
    sx-infertility-unexplained | Unexplained infertility
    sx-habitual-abortion | Habitual miscarriage
    sx-infertility-pcos | Infertility from PCOS
    sx-infertility-endometriosis | Infertility from endometriosis
  sx-sti | Sexually transmitted infections
    sx-genital-warts | Genital warts (HPV)
    sx-genital-herpes | Genital herpes
    sx-gonorrhea | Gonorrhea
    sx-chlamydia | Chlamydia
    sx-sti-syphilis | Syphilitic miasm effects
  sx-vaginismus | Vaginismus
  sx-vulvodynia | Vulvodynia
  sx-balanitis | Balanitis
=== Oncology Support ===
  onc-support | Cancer supportive care
    onc-chemo-side-effects | Chemotherapy side effects
    onc-radiation-effects | Radiation therapy effects
    onc-nausea-chemo | Nausea from chemotherapy
    onc-fatigue-cancer | Cancer-related fatigue
    onc-pain-cancer | Cancer pain management
    onc-hair-loss-chemo | Hair loss from chemotherapy
    onc-mouth-ulcers-chemo | Mouth ulcers from chemotherapy
    onc-appetite-loss | Loss of appetite in cancer
  onc-tumors-benign | Benign tumors
    onc-lipoma | Lipoma
    onc-fibroma | Fibroma
    onc-polyp | Polyps (general)
    onc-ganglion-cyst | Ganglion cyst
  onc-cyst | Cysts
    onc-cyst-sebaceous | Sebaceous cyst
    onc-cyst-ovarian | Ovarian cyst
    onc-cyst-breast | Breast cyst
    onc-cyst-kidney | Kidney cyst
    onc-cyst-thyroid | Thyroid cyst
=== Geriatrics (Elderly Care) ===
  ger-dementia | Dementia / cognitive decline
    ger-alzheimer | Alzheimer's type
    ger-vascular-dementia | Vascular dementia
    ger-memory-decline | Age-related memory decline
    ger-dementia-lewy-body | Lewy body dementia
    ger-dementia-aggression | Dementia with aggression
    ger-dementia-wandering | Dementia with wandering
  ger-prostate-bph | BPH (benign prostatic hyperplasia)
    ger-bph-dribbling | BPH with dribbling
    ger-bph-frequency | BPH with frequency
    ger-bph-retention | BPH with retention
    ger-bph-nocturia | BPH with nocturia
  ger-incontinence-elderly | Urinary incontinence in elderly
  ger-falls | Tendency to falls
  ger-senile-pruritus | Senile pruritus (itching)
  ger-insomnia-elderly | Insomnia in elderly
  ger-debility | General debility of old age
    ger-debility-after-flu | Debility after influenza
  ger-constipation-elderly | Chronic constipation in elderly
=== Infectious Diseases ===
  inf-influenza | Influenza (flu)
    inf-flu-bone-pain | Flu with bone-breaking pain
    inf-flu-gastric | Gastric flu
    inf-flu-lingering | Lingering effects of flu
    inf-flu-stomach | Stomach flu
  inf-covid | COVID-19 / post-COVID
    inf-covid-acute | Acute COVID infection
    inf-long-covid | Long COVID syndrome
    inf-covid-anosmia | Loss of smell/taste post-COVID
    inf-covid-fatigue | Post-COVID fatigue
    inf-covid-brain-fog | Post-COVID brain fog
    inf-covid-cough | Post-COVID persistent cough
    inf-covid-joints | Post-COVID joint pain
    inf-covid-chest-tightness | Post-COVID chest tightness
  inf-malaria | Malaria
    inf-malaria-tertian | Tertian malaria
    inf-malaria-quartan | Quartan malaria
  inf-dengue | Dengue fever
    inf-dengue-bone-pain | Dengue with bone pain
    inf-dengue-hemorrhagic | Dengue hemorrhagic
  inf-typhoid | Typhoid fever
  inf-uti | Urinary tract infection
    inf-uti-recurrent | Recurrent UTI
    inf-uti-honeymoon | Honeymoon UTI
    inf-uti-pregnancy | UTI in pregnancy
    inf-uti-male | UTI in males
  inf-mrsa | MRSA infections
  inf-mononucleosis | Mononucleosis (glandular fever)
  inf-hepatitis | Hepatitis
    inf-hepatitis-a | Hepatitis A
    inf-hepatitis-b | Hepatitis B
    inf-hepatitis-c | Hepatitis C
=== Pregnancy & Childbirth ===
  preg-morning-sickness | Morning sickness
    preg-nausea-smell | Nausea from smell of food
    preg-nausea-motion | Nausea from any motion
    preg-nausea-constant | Constant nausea all day
    preg-hyperemesis | Hyperemesis gravidarum
    preg-nausea-sight-food | Nausea at sight of food
    preg-nausea-evening | Nausea worse in evening
  preg-backache | Pregnancy backache
    preg-backache-sacral | Sacral pain in pregnancy
    preg-backache-sciatica | Sciatica during pregnancy
    preg-backache-coccyx | Coccyx pain in pregnancy
  preg-edema | Pregnancy edema
    preg-edema-feet | Swollen feet in pregnancy
    preg-edema-hands | Swollen hands in pregnancy
  preg-labor | Labor & delivery
    preg-labor-false | False labor pains
    preg-labor-slow | Slow/inefficient labor
    preg-labor-back | Back labor
    preg-afterpains | Afterpains
    preg-labor-precipitous | Precipitous labor
  preg-breastfeeding | Breastfeeding issues
    preg-mastitis | Mastitis
    preg-blocked-duct | Blocked milk duct
    preg-low-milk | Low milk supply
    preg-engorgement | Breast engorgement
    preg-nipple-cracked | Cracked nipples
    preg-oversupply | Oversupply of breast milk
  preg-varicose | Varicose veins in pregnancy
  preg-hemorrhoids | Hemorrhoids in pregnancy
  preg-heartburn | Heartburn in pregnancy
=== Hematology (Blood Disorders) ===
  hema-anemia-types | Anemia types
    hema-iron-def | Iron deficiency anemia
    hema-b12-def | B12 deficiency anemia
    hema-folate-def | Folate deficiency anemia
    hema-hemolytic | Hemolytic anemia
    hema-sickle-cell | Sickle cell disease support
    hema-anemia-pregnancy | Anemia in pregnancy
  hema-bleeding | Bleeding disorders
    hema-easy-bruising | Easy bruising
    hema-epistaxis-recurrent | Recurrent nosebleeds
    hema-purpura | Purpura (ITP)
    hema-gum-bleeding-spontaneous | Spontaneous gum bleeding
    hema-heavy-periods | Heavy menstrual bleeding (menorrhagia)
  hema-clotting | Clotting disorders
    hema-thrombosis-tendency | Tendency to thrombosis
=== Sports Medicine & Injuries ===
  sport-strain | Muscle strains
    sport-strain-hamstring | Hamstring strain
    sport-strain-calf | Calf muscle strain
    sport-strain-groin | Groin strain
    sport-strain-back | Back muscle strain
    sport-strain-neck | Neck strain
    sport-strain-shoulder | Shoulder strain
  sport-sprain | Ligament sprains
    sport-sprain-ankle | Ankle sprain
    sport-sprain-knee | Knee ligament sprain
    sport-sprain-wrist | Wrist sprain
  sport-fracture | Fracture support
    sport-fracture-healing | Slow fracture healing
    sport-fracture-pain | Fracture pain
    sport-stress-fracture | Stress fracture
  sport-concussion | Concussion
    sport-concussion-headache | Post-concussion headache
    sport-concussion-dizziness | Post-concussion dizziness
  sport-overuse | Overuse injuries
    sport-shin-splints | Shin splints
    sport-runners-knee | Runner's knee
    sport-it-band | IT band syndrome
    sport-golfers-elbow | Golfer's elbow
    sport-swimmers-shoulder | Swimmer's shoulder
=== First Aid & Acute Conditions ===
  fa-burns | Burns
    fa-burns-minor | Minor burns (1st degree)
    fa-burns-blisters | Burns with blisters
    fa-burns-sunburn | Sunburn
    fa-burns-chemical | Chemical burns
  fa-bites | Bites & stings
    fa-bee-sting | Bee/wasp sting
    fa-mosquito-bite | Mosquito bite reaction
    fa-spider-bite | Spider bite
    fa-dog-bite | Dog bite
    fa-snake-bite | Snake bite support
    fa-tick-bite | Tick bite
    fa-jellyfish-sting | Jellyfish sting
  fa-wounds | Wounds & cuts
    fa-wounds-laceration | Laceration
    fa-wounds-puncture | Puncture wound
    fa-wounds-infected | Infected wound
    fa-wounds-slow-healing | Slow healing wound
    fa-wounds-splinter | Splinter/foreign body in wound
  fa-bruises | Bruises & contusions
    fa-bruise-deep | Deep bruising
    fa-bruise-eye | Black eye
  fa-shock | Shock / emotional trauma
    fa-shock-fright | Shock from fright
    fa-shock-bad-news | Shock from bad news
  fa-heatstroke | Heat exhaustion / heatstroke
  fa-frostbite | Frostbite / chilblains
    fa-chilblains | Chilblains
  fa-nosebleed | Acute nosebleed
  fa-fainting | Fainting / syncope
  fa-travel-sickness | Travel / motion sickness
    fa-car-sickness | Car sickness
    fa-sea-sickness | Sea sickness
    fa-air-sickness | Air sickness
    fa-train-sickness | Train sickness
=== Constitutional Types ===
  const-calc-type | Calcarea carbonica type
    const-calc-slow | Slow and sluggish constitution
    const-calc-obese | Fair, flabby, obese tendency
    const-calc-sweaty-head | Head sweats during sleep
  const-phos-type | Phosphorus type
    const-phos-tall-thin | Tall, thin, fair constitution
    const-phos-sympathetic | Very sympathetic nature
    const-phos-thirst-cold | Craving ice-cold drinks
  const-sulph-type | Sulphur type
    const-sulph-philosopher | Philosophical/ragged philosopher
    const-sulph-hot | Very hot patient
    const-sulph-11am-hunger | Sinking feeling at 11 AM
    const-sulph-standing | Worse standing
  const-lyc-type | Lycopodium type
    const-lyc-4pm-8pm | Aggravation 4-8 PM
    const-lyc-anticipation | Anticipatory anxiety
    const-lyc-right-sided | Right-sided complaints
    const-lyc-bloating | Bloating after eating
  const-nat-m-type | Natrum muriaticum type
    const-nat-m-grief | Ailments from grief (silent)
    const-nat-m-salt | Salt craving
    const-nat-m-consolation-agg | Worse from consolation
    const-nat-m-sun | Worse from sun
  const-puls-type | Pulsatilla type
    const-puls-changeable | Changeable symptoms
    const-puls-weepy | Weepy, clingy disposition
    const-puls-thirstless | Thirstless despite fever
    const-puls-open-air | Better open air
  const-nux-type | Nux vomica type
    const-nux-type-a | Type-A personality
    const-nux-overindulgence | Effects of overindulgence
    const-nux-chilly | Very chilly person
    const-nux-morning | Worse in morning
  const-ars-type | Arsenicum album type
    const-ars-fastidious | Fastidious/perfectionist
    const-ars-anxious | Anxious about health
    const-ars-restless | Restless despite weakness
    const-ars-midnight | Worse at midnight
=== Respiratory (Advanced) ===
  resp-pleurisy | Pleurisy
    resp-pleurisy-dry | Dry pleurisy
    resp-pleurisy-effusion | Pleurisy with effusion
  resp-pulmonary-fibrosis | Pulmonary fibrosis support
  resp-sarcoidosis | Sarcoidosis support
  resp-pleural-effusion | Pleural effusion
  resp-croup | Croup
    resp-croup-midnight | Croup worse at midnight
    resp-croup-barking | Barking cough of croup
  resp-bronchiolitis | Bronchiolitis in infants
=== Liver & Gallbladder ===
  lgb-gallstones | Gallstones (cholelithiasis)
    lgb-gallstone-colic | Gallstone colic
    lgb-gallstone-chronic | Chronic gallstone disease
    lgb-gallstone-post-meal | Gallstone pain after fatty food
    lgb-gallstone-recurrent | Recurrent gallstones
  lgb-cholecystitis | Cholecystitis
    lgb-cholecystitis-acute | Acute cholecystitis
    lgb-cholecystitis-chronic | Chronic cholecystitis
  lgb-fatty-liver | Non-alcoholic fatty liver
    lgb-nafld | NAFLD
    lgb-nash | NASH (steatohepatitis)
    lgb-fatty-liver-alcoholic | Alcoholic fatty liver
  lgb-hepatomegaly | Enlarged liver
  lgb-jaundice | Jaundice
    lgb-jaundice-newborn | Neonatal jaundice
    lgb-jaundice-obstructive | Obstructive jaundice
    lgb-jaundice-hepatic | Hepatic jaundice
=== Renal (Kidney Advanced) ===
  renal-nephrotic | Nephrotic syndrome
    renal-nephrotic-edema | Nephrotic edema
    renal-nephrotic-proteinuria | Proteinuria
  renal-nephritis | Nephritis
    renal-glomerulonephritis | Glomerulonephritis
    renal-pyelonephritis | Pyelonephritis
  renal-ckd | Chronic kidney disease support
    renal-ckd-early | Early CKD management
    renal-ckd-dialysis-support | Dialysis support
  renal-polycystic | Polycystic kidney disease
  renal-renal-colic | Renal colic
    renal-colic-left | Left renal colic
    renal-colic-right | Right renal colic
    renal-colic-nausea | Renal colic with nausea/vomiting
=== Wound Healing & Recovery ===
  wh-post-surgical | Post-surgical recovery
    wh-post-op-pain | Post-operative pain
    wh-post-op-nausea | Post-operative nausea
    wh-post-op-constipation | Post-operative constipation
    wh-post-op-adhesion | Post-operative adhesions
    wh-post-op-infection | Post-operative wound infection
  wh-keloid-prevention | Keloid/scar prevention
  wh-abscess-general | Abscess formation
    wh-abscess-recurrent | Recurrent abscesses
    wh-abscess-boil | Boils (furuncles)
    wh-abscess-carbuncle | Carbuncle
    wh-abscess-dental | Dental abscess
    wh-abscess-pilonidal | Pilonidal abscess
=== Metabolism & Nutrition ===
  meta-gout-advanced | Gout (advanced)
    meta-gout-big-toe | Gout in big toe
    meta-gout-knee-ankle | Gout in knee/ankle
    meta-gout-chronic | Chronic tophaceous gout
    meta-uric-acid-high | High uric acid
    meta-gout-diet-triggered | Gout from dietary excess
  meta-cholesterol-adv | Dyslipidemia
    meta-cholesterol-ldl | High LDL cholesterol
    meta-cholesterol-triglyc | High triglycerides
  meta-vitamin-def | Vitamin deficiencies
    meta-vit-d-def | Vitamin D deficiency
    meta-vit-b12-def | Vitamin B12 deficiency
    meta-iron-def | Iron deficiency
    meta-calcium-def | Calcium deficiency
    meta-zinc-def | Zinc deficiency
  meta-rickets | Rickets
  meta-scurvy | Scurvy tendency
=== Connective Tissue Disorders ===
  ct-sjogren | Sjogren's syndrome
    ct-sjogren-dry-eyes | Sjogren's dry eyes
    ct-sjogren-dry-mouth | Sjogren's dry mouth
    ct-sjogren-joint-pain | Sjogren with joint pain
  ct-scleroderma | Scleroderma support
  ct-polymyalgia | Polymyalgia rheumatica
    ct-polymyalgia-shoulders | Polymyalgia in shoulders
    ct-polymyalgia-hips | Polymyalgia in hips
  ct-vasculitis | Vasculitis
  ct-ehlers-danlos | Ehlers-Danlos / hypermobility
=== Travel Health ===
  travel-jet-lag | Jet lag
    travel-jet-lag-east | Jet lag flying east
    travel-jet-lag-west | Jet lag flying west
  travel-diarrhea | Traveler's diarrhea
    travel-diarrhea-water | Diarrhea from contaminated water
    travel-diarrhea-food | Diarrhea from local food
    travel-diarrhea-ice | Diarrhea from ice in drinks
  travel-altitude | Altitude sickness
    travel-altitude-headache | Altitude headache
    travel-altitude-nausea | Altitude nausea
  travel-malaria-prev | Malaria prevention support
  travel-sunstroke | Sunstroke
=== Environmental Medicine ===
  env-emf-sensitivity | EMF sensitivity
  env-chemical-sensitivity | Multiple chemical sensitivity
    env-perfume-sensitivity | Sensitivity to perfumes
    env-paint-fumes | Sensitivity to paint fumes
  env-sick-building | Sick building syndrome
  env-mold-exposure | Mold exposure effects
    env-mold-respiratory | Respiratory effects of mold
    env-mold-fatigue | Fatigue from mold exposure
  env-weather-sensitivity | Weather sensitivity
    env-weather-storm | Symptoms before storms
    env-weather-damp | Symptoms worse in damp weather
    env-weather-cold-dry | Symptoms worse in cold dry weather
    env-weather-barometric | Symptoms from barometric pressure change
=== Palliative & Supportive Care ===
  pall-pain | Pain management
    pall-pain-chronic | Chronic pain management
    pall-pain-neuropathic | Neuropathic pain
    pall-pain-bone | Bone pain
    pall-pain-phantom | Phantom limb pain
  pall-nausea | Palliative nausea
    pall-nausea-medication | Nausea from medication
    pall-nausea-morphine | Nausea from morphine
  pall-anxiety-end | End-of-life anxiety
  pall-restlessness-terminal | Terminal restlessness
=== Vaccine-Related Effects ===
  vax-adverse-general | General vaccine adverse effects
    vax-fever-post | Post-vaccination fever
    vax-injection-site | Injection site pain/swelling
    vax-fatigue-post | Post-vaccination fatigue
    vax-headache-post | Post-vaccination headache
  vax-never-well-since | Never well since vaccination
    vax-nws-general | General decline since vaccination
=== Miasmatic Conditions ===
  miasm-psora | Psoric miasm
    miasm-psora-skin | Psoric skin conditions
    miasm-psora-functional | Psoric functional disorders
    miasm-psora-deficiency | Psoric deficiency states
    miasm-psora-allergy | Psoric allergic tendency
  miasm-sycosis | Sycotic miasm
    miasm-sycosis-growths | Sycotic growths/warts
    miasm-sycosis-excess | Sycotic excess/hypertrophy
    miasm-sycosis-joints | Sycotic joint deposits
  miasm-syphilitic | Syphilitic miasm
    miasm-syphilitic-destruction | Syphilitic tissue destruction
    miasm-syphilitic-night | Syphilitic night aggravation
  miasm-tubercular | Tubercular miasm
    miasm-tubercular-changeability | Tubercular changeability
    miasm-tubercular-travel | Desire to travel (tubercular)
=== Emotional & Psychological Trauma ===
  et-abuse | Effects of abuse
    et-abuse-emotional | Effects of emotional abuse
    et-abuse-physical | Effects of physical abuse
    et-abuse-childhood | Childhood abuse effects
    et-abuse-neglect | Effects of neglect
  et-humiliation | Effects of humiliation
    et-humiliation-public | Public humiliation effects
  et-anger-suppressed | Suppressed anger effects
    et-anger-suppressed-disease | Disease from suppressed anger
  et-mortification | Mortification / wounded pride
  et-disappointment | Chronic disappointment effects
  et-fright-long-lasting | Long-lasting effects of fright
  et-anticipation-chronic | Chronic anticipatory anxiety
=== Detoxification & Drainage ===
  detox-drug-effects | Effects of conventional drugs
    detox-antibiotic-effects | Side effects of antibiotics
    detox-steroid-effects | Side effects of steroids
    detox-nsaid-effects | Side effects of NSAIDs
    detox-chemo-effects | Side effects of chemotherapy
    detox-oral-contraceptive | Effects of oral contraceptives
    detox-antidepressant | Effects of antidepressant withdrawal
  detox-heavy-metal | Heavy metal exposure
    detox-mercury | Mercury exposure effects
    detox-lead | Lead exposure effects
    detox-arsenic | Arsenic exposure effects
  detox-liver-drainage | Liver drainage support
  detox-kidney-drainage | Kidney drainage support
=== Nosodes & Prophylaxis ===
  nos-influenzinum | Influenzinum indications
    nos-flu-prevention | Flu prevention
  nos-oscillococcinum | Oscillococcinum indications
  nos-tuberculinum | Tuberculinum indications
    nos-tub-recurrent-cold | Recurrent colds needing Tub
  nos-medorrhinum | Medorrhinum indications
    nos-med-asthma | Asthma needing Medorrhinum
    nos-med-night-owl | Better at night (Medorrhinum)
=== Lymphatic System ===
  lymph-swollen-nodes | Lymphadenopathy
    lymph-cervical | Cervical lymphadenopathy
    lymph-inguinal | Inguinal lymphadenopathy
    lymph-axillary | Axillary lymphadenopathy
    lymph-mesenteric | Mesenteric lymphadenopathy
  lymph-lymphedema | Lymphedema
    lymph-lymphedema-arm | Arm lymphedema (post-surgery)
    lymph-lymphedema-leg | Leg lymphedema
  lymph-tonsils-adenoids | Tonsillar/adenoid hypertrophy
=== Substance Abuse Recovery ===
  sa-alcohol | Alcohol addiction recovery
    sa-alcohol-craving | Alcohol craving
    sa-alcohol-withdrawal | Alcohol withdrawal support
    sa-alcohol-hangover | Hangover
    sa-alcohol-liver | Alcoholic liver damage
    sa-alcohol-delirium | Delirium tremens
  sa-tobacco | Tobacco cessation
    sa-tobacco-craving | Tobacco craving
    sa-tobacco-withdrawal | Tobacco withdrawal effects
  sa-cannabis | Cannabis effects
  sa-caffeine | Caffeine overuse effects
=== Healthy Aging & Longevity ===
  age-vitality | Declining vitality
    age-premature-aging | Premature aging
    age-slow-recovery | Slow recovery from illness in elderly
    age-reduced-stamina | Reduced physical stamina
  age-cognitive | Cognitive decline
    age-brain-fog | Brain fog in elderly
    age-forgetfulness | Age-related forgetfulness
    age-word-finding | Word-finding difficulty
  age-joint-degeneration | Joint degeneration
    age-osteoarthritis-hip | Hip osteoarthritis
    age-osteoarthritis-knee | Knee osteoarthritis
    age-osteoarthritis-spine | Spinal osteoarthritis
    age-osteoarthritis-hand | Hand osteoarthritis
  age-vision-decline | Age-related vision decline
    age-cataract | Cataract
    age-macular-degen | Age-related macular degeneration
    age-presbyopia | Presbyopia
  age-hearing-loss | Age-related hearing loss
    age-hearing-loss-gradual | Gradual hearing loss
  age-sarcopenia | Sarcopenia (muscle loss)
